year,country,count,total,proportion
1901,Germany,3,3,1.0
1902,Germany,1,4,0.25
1902,United Kingdom,1,4,0.25
1902,the Netherlands,2,4,0.5
1903,Denmark,1,5,0.2
1903,France,2,5,0.4
1903,Sweden,1,5,0.2
1903,Unknown,1,5,0.2
1904,Russia,1,3,0.3333333333333333
1904,United Kingdom,2,3,0.6666666666666666
1905,Germany,3,3,1.0
1906,France,1,4,0.25
1906,Italy,1,4,0.25
1906,Spain,1,4,0.25
1906,United Kingdom,1,4,0.25
1907,France,1,3,0.3333333333333333
1907,Germany,1,3,0.3333333333333333
1907,USA,1,3,0.3333333333333333
1908,France,2,4,0.5
1908,Germany,1,4,0.25
1908,United Kingdom,1,4,0.25
1909,Germany,2,4,0.5
1909,Switzerland,1,4,0.25
1909,United Kingdom,1,4,0.25
1910,Germany,2,3,0.6666666666666666
1910,the Netherlands,1,3,0.3333333333333333
1911,France,1,3,0.3333333333333333
1911,Germany,1,3,0.3333333333333333
1911,Sweden,1,3,0.3333333333333333
1912,France,2,4,0.5
1912,Sweden,1,4,0.25
1912,USA,1,4,0.25
1913,France,1,3,0.3333333333333333
1913,Switzerland,1,3,0.3333333333333333
1913,the Netherlands,1,3,0.3333333333333333
1914,Austria,1,3,0.3333333333333333
1914,Germany,1,3,0.3333333333333333
1914,USA,1,3,0.3333333333333333
1915,Germany,1,3,0.3333333333333333
1915,United Kingdom,2,3,0.6666666666666666
1917,United Kingdom,1,1,1.0
1918,Germany,2,2,1.0
1919,Belgium,1,2,0.5
1919,Germany,1,2,0.5
1920,Denmark,1,3,0.3333333333333333
1920,France,1,3,0.3333333333333333
1920,Germany,1,3,0.3333333333333333
1921,Germany,1,2,0.5
1921,United Kingdom,1,2,0.5
1922,Denmark,1,4,0.25
1922,Germany,1,4,0.25
1922,United Kingdom,2,4,0.5
1923,Austria,1,4,0.25
1923,Canada,2,4,0.5
1923,USA,1,4,0.25
1924,Sweden,1,2,0.5
1924,the Netherlands,1,2,0.5
1925,Germany,3,3,1.0
1926,Denmark,1,3,0.3333333333333333
1926,France,1,3,0.3333333333333333
1926,Sweden,1,3,0.3333333333333333
1927,Austria,1,4,0.25
1927,Germany,1,4,0.25
1927,USA,1,4,0.25
1927,United Kingdom,1,4,0.25
1928,Germany,1,3,0.3333333333333333
1928,Tunisia,1,3,0.3333333333333333
1928,United Kingdom,1,3,0.3333333333333333
1929,France,1,5,0.2
1929,Sweden,1,5,0.2
1929,United Kingdom,2,5,0.4
1929,the Netherlands,1,5,0.2
1930,Germany,1,3,0.3333333333333333
1930,India,1,3,0.3333333333333333
1930,USA,1,3,0.3333333333333333
1931,Germany,3,3,1.0
1932,Germany,1,4,0.25
1932,USA,1,4,0.25
1932,United Kingdom,2,4,0.5
1933,Germany,1,3,0.3333333333333333
1933,USA,1,3,0.3333333333333333
1933,United Kingdom,1,3,0.3333333333333333
1934,USA,4,4,1.0
1935,France,2,4,0.5
1935,Germany,1,4,0.25
1935,United Kingdom,1,4,0.25
1936,Austria,2,5,0.4
1936,Germany,1,5,0.2
1936,USA,1,5,0.2
1936,United Kingdom,1,5,0.2
1937,Hungary,1,5,0.2
1937,Switzerland,1,5,0.2
1937,USA,1,5,0.2
1937,United Kingdom,2,5,0.4
1938,Belgium,1,3,0.3333333333333333
1938,Germany,1,3,0.3333333333333333
1938,Italy,1,3,0.3333333333333333
1939,Germany,2,4,0.5
1939,Switzerland,1,4,0.25
1939,USA,1,4,0.25
1943,Denmark,1,4,0.25
1943,Sweden,1,4,0.25
1943,USA,2,4,0.5
1944,Germany,1,4,0.25
1944,USA,3,4,0.75
1945,Finland,1,5,0.2
1945,USA,1,5,0.2
1945,United Kingdom,3,5,0.6
1946,USA,5,5,1.0
1947,Argentina,1,5,0.2
1947,USA,2,5,0.4
1947,United Kingdom,2,5,0.4
1948,Sweden,1,3,0.3333333333333333
1948,Switzerland,1,3,0.3333333333333333
1948,United Kingdom,1,3,0.3333333333333333
1949,Portugal,1,4,0.25
1949,Switzerland,1,4,0.25
1949,USA,2,4,0.5
1950,Germany,2,6,0.3333333333333333
1950,Switzerland,1,6,0.16666666666666666
1950,USA,2,6,0.3333333333333333
1950,United Kingdom,1,6,0.16666666666666666
1951,Ireland,1,5,0.2
1951,USA,3,5,0.6
1951,United Kingdom,1,5,0.2
1952,USA,3,5,0.6
1952,United Kingdom,2,5,0.4
1953,Germany,1,4,0.25
1953,USA,1,4,0.25
1953,United Kingdom,1,4,0.25
1953,the Netherlands,1,4,0.25
1954,Germany,1,6,0.16666666666666666
1954,USA,4,6,0.6666666666666666
1954,United Kingdom,1,6,0.16666666666666666
1955,Sweden,1,4,0.25
1955,USA,3,4,0.75
1956,Germany,1,8,0.125
1956,USA,5,8,0.625
1956,USSR,1,8,0.125
1956,United Kingdom,1,8,0.125
1957,Italy,1,4,0.25
1957,USA,2,4,0.5
1957,United Kingdom,1,4,0.25
1958,USA,3,7,0.42857142857142855
1958,USSR,3,7,0.42857142857142855
1958,United Kingdom,1,7,0.14285714285714285
1959,Czechoslovakia,1,5,0.2
1959,USA,4,5,0.8
1960,Australia,1,4,0.25
1960,USA,2,4,0.5
1960,United Kingdom,1,4,0.25
1961,Germany,1,4,0.25
1961,USA,3,4,0.75
1962,USA,1,6,0.16666666666666666
1962,USSR,1,6,0.16666666666666666
1962,United Kingdom,4,6,0.6666666666666666
1963,Australia,1,8,0.125
1963,Germany,2,8,0.25
1963,Italy,1,8,0.125
1963,USA,2,8,0.25
1963,United Kingdom,2,8,0.25
1964,Germany,1,6,0.16666666666666666
1964,USA,2,6,0.3333333333333333
1964,USSR,2,6,0.3333333333333333
1964,United Kingdom,1,6,0.16666666666666666
1965,France,3,7,0.42857142857142855
1965,Japan,1,7,0.14285714285714285
1965,USA,3,7,0.42857142857142855
1966,France,1,4,0.25
1966,USA,3,4,0.75
1967,Germany,1,7,0.14285714285714285
1967,Sweden,1,7,0.14285714285714285
1967,USA,3,7,0.42857142857142855
1967,United Kingdom,2,7,0.2857142857142857
1968,USA,5,5,1.0
1969,Norway,1,6,0.16666666666666666
1969,USA,4,6,0.6666666666666666
1969,United Kingdom,1,6,0.16666666666666666
1970,Argentina,1,6,0.16666666666666666
1970,France,1,6,0.16666666666666666
1970,Sweden,2,6,0.3333333333333333
1970,USA,1,6,0.16666666666666666
1970,United Kingdom,1,6,0.16666666666666666
1971,Canada,1,3,0.3333333333333333
1971,USA,1,3,0.3333333333333333
1971,United Kingdom,1,3,0.3333333333333333
1972,USA,7,8,0.875
1972,United Kingdom,1,8,0.125
1973,Austria,1,8,0.125
1973,Germany,2,8,0.25
1973,USA,2,8,0.25
1973,United Kingdom,3,8,0.375
1974,Belgium,1,6,0.16666666666666666
1974,USA,3,6,0.5
1974,United Kingdom,2,6,0.3333333333333333
1975,Denmark,2,8,0.25
1975,Switzerland,1,8,0.125
1975,USA,3,8,0.375
1975,United Kingdom,2,8,0.25
1976,USA,5,5,1.0
1977,Belgium,1,7,0.14285714285714285
1977,USA,5,7,0.7142857142857143
1977,United Kingdom,1,7,0.14285714285714285
1978,Switzerland,1,7,0.14285714285714285
1978,USA,4,7,0.5714285714285714
1978,USSR,1,7,0.14285714285714285
1978,United Kingdom,1,7,0.14285714285714285
1979,Germany,1,7,0.14285714285714285
1979,Italy,1,7,0.14285714285714285
1979,USA,4,7,0.5714285714285714
1979,United Kingdom,1,7,0.14285714285714285
1980,France,1,8,0.125
1980,USA,6,8,0.75
1980,United Kingdom,1,8,0.125
1981,Japan,1,8,0.125
1981,Sweden,1,8,0.125
1981,USA,6,8,0.75
1982,Sweden,2,5,0.4
1982,USA,1,5,0.2
1982,United Kingdom,2,5,0.4
1983,USA,4,4,1.0
1984,Switzerland,4,6,0.6666666666666666
1984,USA,1,6,0.16666666666666666
1984,United Kingdom,1,6,0.16666666666666666
1985,Germany,1,5,0.2
1985,USA,4,5,0.8
1986,Canada,1,8,0.125
1986,Germany,1,8,0.125
1986,Italy,1,8,0.125
1986,Switzerland,2,8,0.25
1986,USA,3,8,0.375
1987,France,1,6,0.16666666666666666
1987,Switzerland,2,6,0.3333333333333333
1987,USA,3,6,0.5
1988,Germany,2,9,0.2222222222222222
1988,Switzerland,1,9,0.1111111111111111
1988,USA,5,9,0.5555555555555556
1988,United Kingdom,1,9,0.1111111111111111
1989,Germany,1,7,0.14285714285714285
1989,USA,6,7,0.8571428571428571
1990,USA,6,6,1.0
1991,France,1,4,0.25
1991,Germany,2,4,0.5
1991,Switzerland,1,4,0.25
1992,France,1,4,0.25
1992,USA,3,4,0.75
1993,Canada,1,6,0.16666666666666666
1993,USA,4,6,0.6666666666666666
1993,Unknown,1,6,0.16666666666666666
1994,Canada,1,5,0.2
1994,USA,4,5,0.8
1995,Germany,2,8,0.25
1995,USA,6,8,0.75
1996,Switzerland,1,8,0.125
1996,USA,6,8,0.75
1996,United Kingdom,1,8,0.125
1997,Denmark,1,7,0.14285714285714285
1997,France,1,7,0.14285714285714285
1997,USA,4,7,0.5714285714285714
1997,United Kingdom,1,7,0.14285714285714285
1998,USA,8,8,1.0
1999,USA,2,4,0.5
1999,Unknown,1,4,0.25
1999,the Netherlands,1,4,0.25
2000,Japan,1,9,0.1111111111111111
2000,Russia,1,9,0.1111111111111111
2000,Sweden,1,9,0.1111111111111111
2000,USA,6,9,0.6666666666666666
2001,Japan,1,9,0.1111111111111111
2001,USA,5,9,0.5555555555555556
2001,United Kingdom,2,9,0.2222222222222222
2001,Unknown,1,9,0.1111111111111111
2002,Japan,2,9,0.2222222222222222
2002,Switzerland,1,9,0.1111111111111111
2002,USA,5,9,0.5555555555555556
2002,United Kingdom,1,9,0.1111111111111111
2003,Russia,1,7,0.14285714285714285
2003,USA,5,7,0.7142857142857143
2003,United Kingdom,1,7,0.14285714285714285
2004,Israel,2,8,0.25
2004,USA,6,8,0.75
2005,Australia,1,8,0.125
2005,France,1,8,0.125
2005,Germany,1,8,0.125
2005,USA,4,8,0.5
2005,Unknown,1,8,0.125
2006,USA,5,5,1.0
2007,France,1,6,0.16666666666666666
2007,Germany,2,6,0.3333333333333333
2007,USA,2,6,0.3333333333333333
2007,United Kingdom,1,6,0.16666666666666666
2008,France,2,9,0.2222222222222222
2008,Germany,1,9,0.1111111111111111
2008,Japan,2,9,0.2222222222222222
2008,USA,4,9,0.4444444444444444
2009,Israel,1,9,0.1111111111111111
2009,USA,6,9,0.6666666666666666
2009,United Kingdom,2,9,0.2222222222222222
2010,Japan,1,6,0.16666666666666666
2010,USA,2,6,0.3333333333333333
2010,United Kingdom,3,6,0.5
2011,Australia,1,7,0.14285714285714285
2011,France,1,7,0.14285714285714285
2011,Israel,1,7,0.14285714285714285
2011,USA,4,7,0.5714285714285714
2012,France,1,6,0.16666666666666666
2012,Japan,1,6,0.16666666666666666
2012,USA,3,6,0.5
2012,United Kingdom,1,6,0.16666666666666666
2013,Belgium,1,8,0.125
2013,France,1,8,0.125
2013,USA,5,8,0.625
2013,United Kingdom,1,8,0.125
2014,Germany,1,9,0.1111111111111111
2014,Japan,2,9,0.2222222222222222
2014,Norway,2,9,0.2222222222222222
2014,USA,3,9,0.3333333333333333
2014,United Kingdom,1,9,0.1111111111111111
2015,Canada,1,8,0.125
2015,China,1,8,0.125
2015,Japan,2,8,0.25
2015,USA,3,8,0.375
2015,United Kingdom,1,8,0.125
2016,France,1,7,0.14285714285714285
2016,Japan,1,7,0.14285714285714285
2016,USA,4,7,0.5714285714285714
2016,the Netherlands,1,7,0.14285714285714285
2017,Switzerland,1,9,0.1111111111111111
2017,USA,4,9,0.4444444444444444
2017,United Kingdom,1,9,0.1111111111111111
2017,Unknown,3,9,0.3333333333333333
2018,Canada,1,8,0.125
2018,France,1,8,0.125
2018,Japan,1,8,0.125
2018,USA,4,8,0.5
2018,United Kingdom,1,8,0.125
2019,Japan,1,9,0.1111111111111111
2019,Switzerland,2,9,0.2222222222222222
2019,USA,5,9,0.5555555555555556
2019,United Kingdom,1,9,0.1111111111111111
2020,Canada,1,8,0.125
2020,Germany,2,8,0.25
2020,USA,4,8,0.5
2020,United Kingdom,1,8,0.125
2021,Germany,2,7,0.2857142857142857
2021,Italy,1,7,0.14285714285714285
2021,USA,4,7,0.5714285714285714
2022,Austria,1,7,0.14285714285714285
2022,Denmark,1,7,0.14285714285714285
2022,France,1,7,0.14285714285714285
2022,Germany,1,7,0.14285714285714285
2022,USA,3,7,0.42857142857142855
2023,Germany,1,8,0.125
2023,Hungary,1,8,0.125
2023,Sweden,1,8,0.125
2023,USA,5,8,0.625
